"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.569718067E2,6.045082505E1,2.226230504E1,3.634655274E0,1.399999976E0,1.611000061E2,5.213991165E0,6.112608433E0
1.579714842E2,6.045080143E1,2.226232835E1,3.508376265E0,1.519999981E0,1.466999969E2,5.361314774E0,6.368270874E0
1.589717666E2,6.045077872E1,2.226235233E1,3.630387546E0,1.539999962E0,1.468000031E2,5.369497776E0,6.359779358E0
1.599714834E2,6.045075652E1,2.226237584E1,3.462481763E0,1.570000052E0,1.458000031E2,5.401620388E0,6.348730087E0
1.609714535E2,6.045073547E1,2.226239831E1,3.271382450E0,1.490000010E0,1.446999969E2,5.350009918E0,6.249202251E0
1.619712963E2,6.045071506E1,2.226241946E1,3.237326793E0,1.559999943E0,1.448999939E2,5.304971218E0,6.148572445E0
1.629718874E2,6.045069500E1,2.226243941E1,2.641259713E0,1.519999981E0,1.448000031E2,5.272263050E0,6.074797630E0
1.639716913E2,6.045067488E1,2.226245817E1,2.956753194E0,1.620000005E0,1.453000031E2,5.117732048E0,5.832863331E0
1.649714473E2,6.045065447E1,2.226247628E1,2.802886726E0,1.580000043E0,1.448999939E2,4.793717384E0,5.436084270E0
1.659716679E2,6.045063441E1,2.226249231E1,2.527866118E0,1.580000043E0,1.466999969E2,4.863353729E0,5.482115269E0
1.669716214E2,6.045061560E1,2.226250653E1,2.626014539E0,1.580000043E0,1.468999939E2,4.595102310E0,5.138429642E0
1.679714736E2,6.045059680E1,2.226251992E1,2.813823927E0,1.570000052E0,1.483000031E2,4.385861397E0,4.858658314E0
1.689714576E2,6.045057907E1,2.226253228E1,3.047348514E0,1.580000043E0,1.468000031E2,4.364257336E0,4.762621880E0
1.699717555E2,6.045056108E1,2.226254470E1,2.873097329E0,1.620000005E0,1.476000061E2,4.215697289E0,4.492894173E0
1.709716028E2,6.045054388E1,2.226255654E1,2.518487088E0,1.600000024E0,1.466999969E2,4.140096188E0,4.359326839E0
1.719714874E2,6.045052717E1,2.226256785E1,2.367062843E0,1.539999962E0,1.466999969E2,4.092860222E0,4.237526417E0
1.729718015E2,6.045051070E1,2.226257859E1,2.156678741E0,1.610000014E0,1.466999969E2,4.146291256E0,4.230430126E0
1.739711588E2,6.045049411E1,2.226258974E1,1.801397077E0,1.620000005E0,1.458999939E2,4.028759956E0,4.066611290E0
1.749712682E2,6.045047763E1,2.226260035E1,1.177621919E0,1.720000029E0,1.451000061E2,3.924689054E0,3.828485727E0
1.759714913E2,6.045046121E1,2.226261101E1,9.359267881E-1,1.629999995E0,1.450000000E2,3.889357805E0,3.755384684E0
1.769714832E2,6.045044469E1,2.226262177E1,7.513605747E-1,1.669999957E0,1.456999969E2,3.833851337E0,3.654361010E0
1.779710408E2,6.045042818E1,2.226263261E1,6.088475473E-1,1.700000048E0,1.460000000E2,3.796368837E0,3.561271906E0
1.789718840E2,6.045041212E1,2.226264486E1,2.380622505E-1,1.830000043E0,1.443999939E2,3.790092468E0,3.355630159E0
1.799711387E2,6.045039634E1,2.226265877E1,-3.409103175E-2,1.750000000E0,1.435000000E2,3.790092468E0,3.294340849E0
1.809710310E2,6.045038119E1,2.226267316E1,-1.508493145E-1,1.740000010E0,1.435000000E2,3.790092468E0,3.192919016E0
1.819710355E2,6.045036624E1,2.226268768E1,-1.414480819E-1,1.769999981E0,1.433999939E2,3.790092468E0,3.175262928E0
1.829717182E2,6.045035219E1,2.226270302E1,-5.127238981E-1,1.700000048E0,1.411000061E2,3.790092468E0,3.084377050E0
1.839713925E2,6.045033892E1,2.226272069E1,-8.673994675E-1,1.740000010E0,1.370000000E2,3.790092468E0,3.018850088E0
1.849717909E2,6.045032620E1,2.226273983E1,-1.197478728E0,1.679999948E0,1.351000061E2,4.040310383E0,3.286678314E0
1.859717607E2,6.045031304E1,2.226275848E1,-1.176300249E0,1.669999957E0,1.388999939E2,4.233527660E0,3.708756924E0
1.869711504E2,6.045029965E1,2.226277817E1,-5.525830013E-1,1.730000019E0,1.390000000E2,4.106651783E0,3.768100739E0
1.879710427E2,6.045028652E1,2.226279952E1,-2.585174209E-1,1.730000019E0,1.376000061E2,4.007070541E0,3.714672565E0
1.889716353E2,6.045027346E1,2.226281989E1,1.009781991E-1,1.710000038E0,1.366000061E2,3.997538805E0,3.753781319E0
1.899714892E2,6.045026058E1,2.226283915E1,2.240239716E-1,1.649999976E0,1.396000061E2,4.045786381E0,3.869988680E0
1.909710234E2,6.045024714E1,2.226285685E1,5.450686908E-1,1.649999976E0,1.433000031E2,4.006731510E0,3.816844463E0
1.919718943E2,6.045023299E1,2.226287307E1,7.730357408E-1,1.720000029E0,1.445000000E2,3.965757847E0,3.753176689E0
1.929717347E2,6.045021904E1,2.226288890E1,1.287807043E0,1.669999957E0,1.456000061E2,3.979698896E0,3.782895565E0
1.939716982E2,6.045020531E1,2.226290285E1,1.601834348E0,1.590000033E0,1.458000031E2,3.896913528E0,3.649141073E0
1.949718720E2,6.045019232E1,2.226291620E1,1.484281927E0,1.600000024E0,1.441999969E2,3.889365673E0,3.660255432E0
1.959719450E2,6.045017921E1,2.226292937E1,2.071624657E0,1.690000057E0,1.456000061E2,3.851858377E0,3.645038128E0
1.969712805E2,6.045016585E1,2.226294340E1,2.577607310E0,1.730000019E0,1.446000061E2,3.790092468E0,3.538863897E0
1.979711995E2,6.045015359E1,2.226295742E1,2.928377008E0,1.610000014E0,1.456999969E2,3.790092468E0,3.439341068E0
1.989710691E2,6.045014249E1,2.226297232E1,3.115632589E0,1.639999986E0,1.436000061E2,3.790092468E0,3.340654135E0
1.999719320E2,6.045013149E1,2.226298724E1,3.741303638E0,1.600000024E0,1.440000000E2,3.790092468E0,3.284476995E0
2.009711992E2,6.045012059E1,2.226300141E1,3.839448077E0,1.590000033E0,1.433999939E2,3.790092468E0,3.184219599E0
2.019717914E2,6.045010970E1,2.226301493E1,3.804475093E0,1.590000033E0,1.446000061E2,3.790092468E0,3.184772491E0
2.029717963E2,6.045009821E1,2.226302814E1,3.932893648E0,1.639999986E0,1.443999939E2,3.790092468E0,3.101325512E0
2.039717735E2,6.045008607E1,2.226304155E1,4.311556593E0,1.649999976E0,1.448000031E2,3.790092468E0,3.090346098E0
2.049711057E2,6.045007347E1,2.226305466E1,4.514926921E0,1.669999957E0,1.446999969E2,3.790092468E0,2.959208250E0
2.059712975E2,6.045006002E1,2.226306751E1,4.917943777E0,1.730000019E0,1.455000000E2,3.790092468E0,2.749057293E0
2.069719189E2,6.045004604E1,2.226308011E1,5.548194886E0,1.730000019E0,1.443999939E2,3.790092468E0,2.650527716E0
2.079717766E2,6.045003181E1,2.226309294E1,5.972147203E0,1.720000029E0,1.443000031E2,3.790092468E0,2.608077049E0
2.089717646E2,6.045001712E1,2.226310547E1,6.353619402E0,1.779999971E0,1.443999939E2,3.790092468E0,2.500000000E0
2.099713792E2,6.045000162E1,2.226311722E1,6.896164097E0,1.740000010E0,1.458000031E2,3.790092468E0,2.500000000E0
2.109711391E2,6.044998585E1,2.226312740E1,7.507435135E0,1.679999948E0,1.460000000E2,3.790092468E0,2.500000000E0
