"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.247322986E0,-3.432646394E-1,-7.610245943E-1,-3.440427303E0
1.252353872E0,-4.667116404E-1,-5.984115601E-1,-3.295121193E0
1.257384757E0,-5.467932224E-1,-3.872187138E-1,-3.050222397E0
1.262415642E0,-5.142791271E-1,-1.287589073E-1,-2.644152164E0
1.267446528E0,-3.857444525E-1,8.496665955E-2,-2.201583862E0
1.272477413E0,-2.247644663E-1,2.052809000E-1,-1.818048000E0
1.277508299E0,-1.129943132E-1,2.839465141E-1,-1.517098427E0
1.282539184E0,-4.536306858E-2,3.678004742E-1,-1.217201233E0
1.287570069E0,1.176559925E-2,4.606583118E-1,-9.897756577E-1
1.292600955E0,4.359722137E-2,4.906405210E-1,-8.966121674E-1
1.297631840E0,2.573025227E-2,4.916317463E-1,-9.325923920E-1
1.302662726E0,-7.086884975E-2,5.023977757E-1,-1.040178299E0
1.307693611E0,-2.132428885E-1,4.997953176E-1,-1.190723419E0
1.312724497E0,-3.348248005E-1,4.418355227E-1,-1.360423088E0
1.317755382E0,-5.096671581E-1,3.005018234E-1,-1.505982399E0
1.322786267E0,-6.396783590E-1,1.615557671E-1,-1.579325676E0
1.327817153E0,-6.482658386E-1,1.057281494E-1,-1.623490810E0
1.332848038E0,-4.177714586E-1,2.425757647E-1,-1.624423504E0
1.337878924E0,-2.367247343E-1,2.616358995E-1,-1.630181789E0
1.342909809E0,-1.473778486E-1,2.311241627E-1,-1.588329792E0
1.347940694E0,-9.133064747E-2,1.858627796E-1,-1.518210411E0
1.352971580E0,1.790642738E-2,2.170622349E-1,-1.362670898E0
1.358002465E0,3.156152964E-1,3.049876690E-1,-1.126435280E0
1.363033351E0,7.028559446E-1,3.677217960E-1,-9.334363937E-1
1.368064236E0,9.797445536E-1,4.621434212E-1,-8.262338638E-1
1.373095122E0,1.089064121E0,5.736007690E-1,-6.995248795E-1
1.378126007E0,1.087382555E0,7.212696075E-1,-5.439786911E-1
1.383156892E0,1.117141485E0,8.956100941E-1,-4.361248016E-1
1.388187778E0,1.092098117E0,1.039450169E0,-3.090028763E-1
1.393218663E0,1.037812471E0,1.119916677E0,-3.152751923E-1
1.398249549E0,9.043120742E-1,1.080225229E0,-4.447698593E-1
1.403280434E0,8.183784485E-1,9.308979511E-1,-6.302404404E-1
